wanted,position,positionid,from,start,end
Q5043325,Minister of Social Development,Q25998902,Q540420,2014-10-13,2017-10-26
Q26251321,ambassador to the United States,Q28064872,Q558647,2010,2015
Q16182,Minister for Land Information,Q104856417,Q7330098,2008-11-19,2009-06-02
Q1543207,Leader of the Opposition,Q6508547,Q4769089,2008-11-11,2011-12-13
Q3456546,Leader of the Opposition,Q6508547,Q597909,2008-11-11,2011-12-13
Q6308228,Mayor of Hamilton,Q11806033,Q2907819,2007,2010
Q15513198,Member of the New Zealand Parliament,Q18145518,Q466137,2005-09-17,2007-02-14
Q6220548,Member of the New Zealand Parliament,Q18145518,Q7356954,2005,2011
Q57783,Leader of the Opposition,Q6508547,Q1238979,2003-10-28,2006-11-27
Q7416624,Member of the New Zealand Parliament,Q18145518,Q444691,1999,2002
Q7173253,Mayor of Dunedin,Q21127553,Q7635804,1995,2004
Q4963418,Member of the New Zealand Parliament,Q18145518,Q235996,1990-10-27,2002-07-27
Q4932085,Member of the New Zealand Parliament,Q18145518,Q1396178,1984-07-17,2005-09-17
