item,itemLabel,startDate,endDate
Q7184210,Philip Philips,1871,1874
Q66738069,Henry Isaacs,1874,1874
,Frederick Prime,1874,1875
Q16063032,Benjamin Tonks,1875,1876
Q8013631,William Hurst,1876,1877
Q5718572,Henry Brett,1877,1878
Q7793070,Thomas Peacock,1878,1880
Q12055074,James Clark,1880,1883
,William Waddel,1883,1886
,Albert Devore,1886,1889
,John Upton,1889,1891
Q8007332,William Crowther,1891,1893
Q6136858,James Job Holland,1893,1896
Q27468333,Abraham Boardman,1896,1897
Q7173673,Peter Dignan,1897,1898
Q5234191,David Goldie,1898,1901
Q1700877,John Logan Campbell,1901,1901
Q4723009,Alfred Kidd,1901,1903
Q5346666,Edwin Mitchelson,1903,1905
Q4799801,Arthur Myers,1905,1909
Q60729679,Charles Grey,1909,1910
Q57239225,Lemuel Bagnall,1910,1911
Q6140966,James Parr,1911,1915
Q16002994,James Gunson,1915,1925
Q5536604,George Baildon,1925,1931
Q5540898,George Hutchison,1931,1935
Q5393304,Ernest Davis,1935,1941
Q6218829,John Allum,1941,1953
Q6245564,John Luxford,1953,1956
Q7787164,Thomas Ashby,1956,1957
Q6384156,Keith Buttle,1957,1959
Q1252850,Dove-Myer Robinson,1959,1965
Q7373147,Roy McElroy,1965,1968
Q1252850,Dove-Myer Robinson,1968,1980
Q5145255,Colin Kay,1980,1983
Q644212,Catherine Tizard,1983,1990
Q2031510,Les Mills,1990,1998
Q5111023,Christine Fletcher,1998,2001
Q6220548,John Banks,2001,2004
Q5273032,Dick Hubbard,2004,2007
Q6220548,John Banks,2007,2010
